"job_title","activity_sector","job_function","required_experience","study_level","contract_type","remote_work","city"
"technical lead java |","informatique, ssii, internet","informatique, nouvelles technologies","senior (de 5 à 10 ans)","bac +5 et plus","cdi","hybride","casablanca"
"conseiller commercial (h/f) |","banque, assurance, finances","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","mohammédia"
"conseiller commercial |","immobilier, architecture, urbanisme","commercial, vente","junior (de 3 à 5 ans)","bac +3","cdi","non","all"
"acheteur (h/f) - direction des achats |","santé, pharmacie, hôpitaux, équipements médicaux","achats","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","rabat"
"stagiaire pfe contrôle de gestion - rémunéré |","banque, assurance, finances","gestion, comptabilité, finance","fraichement diplômé","bac +5 et plus","stage","non","casablanca"
"agent général d'assurance |","banque, assurance, finances","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +3","autre","non","all"
"qms analyst |","automobile, matériels de transport, réparation","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +5 et plus","cdi","hybride","rabat"
"chargé(e) de support informatique h/f (parfaitement bilingue) |","marketing, communication, médias","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +2","cdi","non","casablanca"
"responsable trésorerie |","import, export","gestion, comptabilité, finance","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","casablanca"
"animateur de vente en magasin |","distribution, vente, commerce de gros","commercial, vente","débutant (de 1 à 3 ans)","bac +2","intérim","non","tanger"
"chef de projet si |","banque, assurance, finances","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"automation engineer (automation anywhere) |","informatique, ssii, internet","informatique, nouvelles technologies","junior (de 3 à 5 ans)","bac +5 et plus","cdi","oui","el jadida"
"responsable service fidélisation / rétention - secteur assurance - h/f |","centres d´appel, hotline, call center","métiers des services","junior (de 3 à 5 ans)","bac +3","cdi","non","casablanca"
"chargé de développement rh senior |","banque, assurance, finances","rh, formation","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"technicien de laboratoire |","éducation, formation","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +5 et plus","cdd","non","benguérir"
"responsable raffinage |","agroalimentaire","production, maintenance, qualité","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"comptable senior |","immobilier, architecture, urbanisme","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +4","cdi","non","casablanca"
"qms technical support quality |","automobile, matériels de transport, réparation","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","hybride","rabat"
"adjoint manager de rayon boulangerie/pâtisserie expérimenté h/f |","distribution, vente, commerce de gros","commercial, vente","junior (de 3 à 5 ans)","bac +2","cdi","non","tétouan"
"chargé marketing et communication |","agroalimentaire","marketing, communication","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","rabat"
"medecin géneraliste |","éducation, formation","métiers de la santé et du social","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","benguérir"
"responsable/ sénior contrôleur de gestion |","immobilier, architecture, urbanisme","gestion, comptabilité, finance","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","casablanca"
"auditeur interne senior |","banque, assurance, finances","gestion, comptabilité, finance","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","casablanca"
"chargé méthodes outillage |","aéronautique, navale","production, maintenance, qualité","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"chef de projet senior digital |","marketing, communication, médias","informatique, nouvelles technologies","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"manager h/f |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac +2","cdi","non","fès"
"formateurs |","éducation, formation","rh, formation","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","benguérir"
"technicien laboratoire (h/f) |","chimie, pétrochimie, matières premières, mines","métiers de la santé et du social","débutant (de 1 à 3 ans)","bac +2","cdi","non","rabat"
"chargé(e) de mission audit fournisseurs |","conseil, audit, comptabilité","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","agadir"
"adjoint manager de rayon boulangerie/pâtisserie expérimenté h/f |","distribution, vente, commerce de gros","commercial, vente","junior (de 3 à 5 ans)","bac +2","cdi","non","casablanca"
"chef de projet industrialisation |","aéronautique, navale","production, maintenance, qualité","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","casablanca"
"project management officer senior anglophone (f/h) |","informatique, ssii, internet","informatique, nouvelles technologies","senior (de 5 à 10 ans)","bac +5 et plus","cdi","hybride","rabat"
"lead développement qualité fournisseur - assurance qualité fournisseurs |","agroalimentaire","achats","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","agadir"
"pmo (h/f) |","automobile, matériels de transport, réparation","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","hybride","casablanca"
"scrum master (h/f) |","conseil, audit, comptabilité","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +5 et plus","cdi","hybride","casablanca"
"ingénieur (e) de production |","informatique, ssii, internet","informatique, nouvelles technologies","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","casablanca"
"inspecteur mur qualité |","aéronautique, navale","production, maintenance, qualité","junior (de 3 à 5 ans)","bac +3","cdi","non","casablanca"
"développeur pega (h/f) |","conseil, audit, comptabilité","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","hybride","casablanca"
"chef de projet infrastructure |","informatique, ssii, internet","informatique, nouvelles technologies","senior (de 5 à 10 ans)","bac +5 et plus","cdi","hybride","rabat"
"adjoint manager de rayon boulangerie/pâtisserie expérimenté h/f |","distribution, vente, commerce de gros","commercial, vente","junior (de 3 à 5 ans)","bac +2","cdi","non","casablanca"
"chef de projet organisation et qualité (h/f) |","banque, assurance, finances","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","casablanca"
"consultant technique oracle ebs (h/f) |","conseil, audit, comptabilité","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +5 et plus","cdi","hybride","casablanca"
"directeur de restaurant h/f |","tourisme, loisirs","tourisme, hôtellerie, restauration","senior (de 5 à 10 ans)","bac +3","cdi","non","all"
"ingénieur qualité produit |","aéronautique, navale","production, maintenance, qualité","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"conseiller de clientèle germanophone/eng |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac +2","cdi","hybride","salé"
"développeur sap abap (h/f) |","conseil, audit, comptabilité","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","hybride","casablanca"
"sales associate |","electricité, eau, gaz, nucléaire, énergie","commercial, vente","débutant (de 1 à 3 ans)","bac +3","cdd","non","casablanca"
"responsable d'unité de management (h/f) axa assitance rabat |","centres d´appel, hotline, call center","métiers des services","senior (de 5 à 10 ans)","bac +4","cdi","hybride","rabat"
"chargé de trésorerie - direction administrative et financière |","conseil, audit, comptabilité","gestion, comptabilité, finance","senior (de 5 à 10 ans)","bac +4","cdi","non","rabat"
"chargé(e) de support administratif et logistique à la fondation ahly |","services autres","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +3","cdi","non","rabat"
